"delta","scans","perc"
0.005,64,0.75
0.005,64,0.8
0.005,64,0.85
0.005,64,0.9
0.005,64,0.95
0.005,64,0.99
0.005,128,0.75
0.005,128,0.8
0.005,128,0.85
0.005,128,0.9
0.005,128,0.95
0.005,128,0.99
0.005,256,0.75
0.005,256,0.8
0.005,256,0.85
0.005,256,0.9
0.005,256,0.95
0.005,256,0.99
0.005,320,0.75
0.005,320,0.8
0.005,320,0.85
0.005,320,0.9
0.005,320,0.95
0.005,320,0.99
0.005,440,0.75
0.005,440,0.8
0.005,440,0.85
0.005,440,0.9
0.005,440,0.95
0.005,440,0.99
0.005,680,0.75
0.005,680,0.8
0.005,680,0.85
0.005,680,0.9
0.005,680,0.95
0.005,680,0.99
0.005,900,0.75
0.005,900,0.8
0.005,900,0.85
0.005,900,0.9
0.005,900,0.95
0.005,900,0.99
0.01,64,0.75
0.01,64,0.8
0.01,64,0.85
0.01,64,0.9
0.01,64,0.95
0.01,64,0.99
0.01,128,0.75
0.01,128,0.8
0.01,128,0.85
0.01,128,0.9
0.01,128,0.95
0.01,128,0.99
0.01,256,0.75
0.01,256,0.8
0.01,256,0.85
0.01,256,0.9
0.01,256,0.95
0.01,256,0.99
0.01,320,0.75
0.01,320,0.8
0.01,320,0.85
0.01,320,0.9
0.01,320,0.95
0.01,320,0.99
0.01,440,0.75
0.01,440,0.8
0.01,440,0.85
0.01,440,0.9
0.01,440,0.95
0.01,440,0.99
0.01,680,0.75
0.01,680,0.8
0.01,680,0.85
0.01,680,0.9
0.01,680,0.95
0.01,680,0.99
0.01,900,0.75
0.01,900,0.8
0.01,900,0.85
0.01,900,0.9
0.01,900,0.95
0.01,900,0.99
0.015,64,0.75
0.015,64,0.8
0.015,64,0.85
0.015,64,0.9
0.015,64,0.95
0.015,64,0.99
0.015,128,0.75
0.015,128,0.8
0.015,128,0.85
0.015,128,0.9
0.015,128,0.95
0.015,128,0.99
0.015,256,0.75
0.015,256,0.8
0.015,256,0.85
0.015,256,0.9
0.015,256,0.95
0.015,256,0.99
0.015,320,0.75
0.015,320,0.8
0.015,320,0.85
0.015,320,0.9
0.015,320,0.95
0.015,320,0.99
0.015,440,0.75
0.015,440,0.8
0.015,440,0.85
0.015,440,0.9
0.015,440,0.95
0.015,440,0.99
0.015,680,0.75
0.015,680,0.8
0.015,680,0.85
0.015,680,0.9
0.015,680,0.95
0.015,680,0.99
0.015,900,0.75
0.015,900,0.8
0.015,900,0.85
0.015,900,0.9
0.015,900,0.95
0.015,900,0.99
0.02,64,0.75
0.02,64,0.8
0.02,64,0.85
0.02,64,0.9
0.02,64,0.95
0.02,64,0.99
0.02,128,0.75
0.02,128,0.8
0.02,128,0.85
0.02,128,0.9
0.02,128,0.95
0.02,128,0.99
0.02,256,0.75
0.02,256,0.8
0.02,256,0.85
0.02,256,0.9
0.02,256,0.95
0.02,256,0.99
0.02,320,0.75
0.02,320,0.8
0.02,320,0.85
0.02,320,0.9
0.02,320,0.95
0.02,320,0.99
0.02,440,0.75
0.02,440,0.8
0.02,440,0.85
0.02,440,0.9
0.02,440,0.95
0.02,440,0.99
0.02,680,0.75
0.02,680,0.8
0.02,680,0.85
0.02,680,0.9
0.02,680,0.95
0.02,680,0.99
0.02,900,0.75
0.02,900,0.8
0.02,900,0.85
0.02,900,0.9
0.02,900,0.95
0.02,900,0.99
0.025,64,0.75
0.025,64,0.8
0.025,64,0.85
0.025,64,0.9
0.025,64,0.95
0.025,64,0.99
0.025,128,0.75
0.025,128,0.8
0.025,128,0.85
0.025,128,0.9
0.025,128,0.95
0.025,128,0.99
0.025,256,0.75
0.025,256,0.8
0.025,256,0.85
0.025,256,0.9
0.025,256,0.95
0.025,256,0.99
0.025,320,0.75
0.025,320,0.8
0.025,320,0.85
0.025,320,0.9
0.025,320,0.95
0.025,320,0.99
0.025,440,0.75
0.025,440,0.8
0.025,440,0.85
0.025,440,0.9
0.025,440,0.95
0.025,440,0.99
0.025,680,0.75
0.025,680,0.8
0.025,680,0.85
0.025,680,0.9
0.025,680,0.95
0.025,680,0.99
0.025,900,0.75
0.025,900,0.8
0.025,900,0.85
0.025,900,0.9
0.025,900,0.95
0.025,900,0.99
0.03,64,0.75
0.03,64,0.8
0.03,64,0.85
0.03,64,0.9
0.03,64,0.95
0.03,64,0.99
0.03,128,0.75
0.03,128,0.8
0.03,128,0.85
0.03,128,0.9
0.03,128,0.95
0.03,128,0.99
0.03,256,0.75
0.03,256,0.8
0.03,256,0.85
0.03,256,0.9
0.03,256,0.95
0.03,256,0.99
0.03,320,0.75
0.03,320,0.8
0.03,320,0.85
0.03,320,0.9
0.03,320,0.95
0.03,320,0.99
0.03,440,0.75
0.03,440,0.8
0.03,440,0.85
0.03,440,0.9
0.03,440,0.95
0.03,440,0.99
0.03,680,0.75
0.03,680,0.8
0.03,680,0.85
0.03,680,0.9
0.03,680,0.95
0.03,680,0.99
0.03,900,0.75
0.03,900,0.8
0.03,900,0.85
0.03,900,0.9
0.03,900,0.95
0.03,900,0.99
